명사|noun|愛好|あいこう|애호, 좋아함|null|null|null|愛好 애호, 좋아함 あいこう|N1
명사|noun|愛想|あいそう|붙임성, 상냥함|null|null|{"note":"あいそ로도 읽음"}|愛想 붙임성, 상냥함(あいそ로도 읽음) あいそう|N1
명사|noun|間柄|あいだがら|관계|null|null|null|間柄 관계 あいだがら|N1
명사|noun|あお向け|あおむけ|위를 향한 상태|null|null|null|あお向け 위를 향한 상태 あおむけ|N1
명사|noun|証|あかし|증거|null|null|null|証 증거 あかし|N1
명사|noun|悪臭|あくしゅう|악취|null|null|null|悪臭 악취 あくしゅう|N1
명사|noun|朝飯前|あさめしまえ|식은 죽 먹기(매우 쉬운 일)|null|null|null|朝飯前 식은 죽 먹기(매우 쉬운 일) あさめしまえ|N1
명사|noun|斡旋|あっせん|알선|null|null|null|斡旋 알선 あっせん|N1
명사|noun|圧倒|あっとう|압도|null|null|null|圧倒 압도 あっとう|N1
명사|noun|圧迫|あっぱく|압박|null|null|null|圧迫 압박 あっぱく|N1
명사|noun|圧力|あつりょく|압력|null|null|null|圧力 압력 あつりょく|N1
명사|noun|後片付け|あとかたづけ|뒷정리|null|null|null|後片付け 뒷정리 あとかたづけ|N1
명사|noun|跡継|あとつぎ|후계자|null|null|null|跡継 후계자 あとつぎ|N1
명사|noun|後回し|あとまわし|뒤로 미룸, 보류|null|null|null|後回し 뒤로 미룸, 보류 あとまわし|N1
명사|noun|油絵|あぶらえ|유화|null|null|null|油絵 유화 あぶらえ|N1
명사|noun|天下り|あまくだ리|낙하산 인사|null|null|null|天下り 낙하산 인사 あまくだり|N1
명사|noun|ありきたり|ありきたり|아주 흔함|null|null|null|ありきたり 아주 흔함 ありきたり|N1
명사|noun|ありのまま|ありのまま|있는 그대로임|null|null|{"year":"2011"}|ありのまま 2011 있는 그대로임|N1
명사|noun|暗算|あんざん|암산|null|null|null|暗算 암산 あんざん|N1
명사|noun|暗示|あんじ|암시|null|null|null|暗示 암시 あんじ|N1
명사|noun|安静|안세이|안정|null|null|{"year":"2015"}|安静 2015 안정 あんせい|N1
명사|noun|安堵|あんど|안도, 안심|null|null|{"year":"2016"}|安堵 2016 안도, 안심 あんど|N1
명사|noun|言い分|いいぶん|할말, 주장하고 싶은 말|null|null|null|言い分 할말, 주장하고 싶은 말 いいぶん|N1
명사|noun|遺憾|いかん|유감|null|null|null|遺憾 유감 いかん|N1
명사|noun|異議|いぎ|이의, 다른 의견|null|null|null|異議 이의, 다른 의견 いぎ|N1
명사|noun|生甲斐|いきがい|살의 보람|null|null|null|生甲斐 살의 보람 いきがい|N1
명사|noun|憤り|いきどおり|분노|null|null|{"year":"2013"}|憤り 2013 분노 いきどおり|N1
명사|noun|偉業|いぎょう|위업|null|null|null|偉業 위업 いぎょう|N1
명사|noun|意기地|いくじ|패기, 의지|null|null|null|意気地 패기, 의지 いくじ|N1
명사|noun|憩い|いこい|휴식|null|null|{"year":"2013"}|憩い 2013 휴식 いこい|N1
명사|noun|意向|いこう|의향|null|null|null|意向 의향 いこう|N1
명사|noun|居心地|いごこち|안락함, 기분|null|null|null|居心地 (어떤 장소나 지위에 있을 때의) 느낌, 기분 いごこち|N1
명사|noun|意地|いじ|고집, 오기|null|null|{"year":"2010"}|意地 2010 고집, 오기 いじ|N1
명사|noun|衣装|いしょう|의상|null|null|null|衣装 의상 いしょう|N1
명사|noun|異色|いしょく|이색, 매우 특이함|null|null|{"year":"2014"}|異色 2014 이색, 매우 특이함 いしょく|N1
명사|noun|遺跡|いせき|유적|null|null|null|遺跡 유적 いせき|N1
명사|noun|依存|いぞん|의존|null|null|{"note":"いそん으로도 읽음"}|依存 의존(いそん으로도 읽음) いぞん|N1
명사|noun|委託|いたく|위탁|null|null|null|委託 위탁 いたく|N1
명사|noun|頂|いただき|꼭대기, 정상|null|null|null|頂 꼭대기, 정상 いただき|N1
명사|noun|一丸|いちがん|한 덩어리, 하나|null|null|null|一丸 한 덩어리, 하나 いちがん|N1
명사|noun|一任|いちにん|일임|null|null|{"year":"2013"}|一任 2013 일임 いちにん|N1
명사|noun|一律|いちりつ|일률|null|null|{"year":"2014"}|一律 2014 일률 いちりつ|N1
명사|noun|一括|いっかつ|일괄|null|null|null|一括 일괄 いっかつ|N1
명사|noun|一刻|いっこく|일각, 짧은 시간|null|null|null|一刻 일각, 짧은 시간 いっこく|N1
명사|noun|逸材|いつざい|일재, 인재|null|null|{"year":"2011"}|逸材 2011 일재, 인재 いつざい|N1
명사|noun|意図|いと|의도|null|null|null|意図 의도 いと|N1
명사|noun|異動|いどう|이동 (인사 이동 등)|null|null|null|異動 이동(人事異動 인사 이동) いどう|N1
명사|noun|糸口|いとぐち|실마리, 단서|null|null|{"year":"2015"}|糸口 2015 실마리, 단서 いとぐち|N1
명사|noun|いやみ|いやみ|불쾌감, 비아냥|null|null|{"year":"2010"}|いやみ 2010 불쾌감, 비아냥|N1
명사|noun|依頼|いらい|의뢰|null|null|null|依頼 의뢰 いらい|N1
명사|noun|威力|いりょく|위력|null|null|null|威力 위력 いりょく|N1
명사|noun|色合い|いろあい|색조, 색상|null|null|null|色合い 색조, 색상 いろあい|N1
명사|noun|違和感|いわかん|위화감|null|null|null|違和感 위화감 いわかん|N1
명사|noun|印鑑|いんかん|인감|null|null|null|印鑑 인감 いんかん|N1
명사|noun|隠居|いんきょ|은거|null|null|null|隠居 은거 いんきょ|N1
명사|noun|引率|いんそつ|인솔|null|null|null|引率 인솔 いんそつ|N1
명사|noun|渦|うず|소용돌이|null|null|null|渦 소용돌이 우즈|N1
